maturity,days,strike,forward,moneyness,option_type,iv,volume
2606,36,5500.0,4830.475051395201,1.1386043694421768,call,23.35113997849206,1491.0
2606,36,5400.0,4830.475051395201,1.1179024718159554,call,22.703378718358316,2128.0
2606,36,5300.0,4830.475051395201,1.0972005741897342,call,20.6420110523502,1158.0
2606,36,5200.0,4830.475051395201,1.0764986765635127,call,19.419833016645654,3492.0
2606,36,5100.0,4830.475051395201,1.0557967789372913,call,18.374673571768714,3891.0
2606,36,5000.0,4830.475051395201,1.0350948813110699,call,17.77067903002689,8397.0
2606,36,4950.0,4830.475051395201,1.0247439324979593,call,17.548554973908278,4754.0
2606,36,4900.0,4830.475051395201,1.0143929836848484,call,17.313375289139614,8205.0
2606,36,4850.0,4830.475051395201,1.0040420348717378,put,17.42138011503772,5935.0
2606,36,4800.0,4830.475051395201,0.9936910860586271,call,17.63363931522523,4760.0
2606,36,4750.0,4830.475051395201,0.9833401372455164,put,17.627046540999633,2462.0
2606,36,4700.0,4830.475051395201,0.9729891884324057,put,18.105583286753323,3132.0
2606,36,4650.0,4830.475051395201,0.962638239619295,put,18.6487911865615,1710.0
2606,36,4600.0,4830.475051395201,0.9522872908061842,put,19.333779007586184,1599.0
2606,36,4550.0,4830.475051395201,0.9419363419930736,put,19.900930029265457,938.0
2606,36,4500.0,4830.475051395201,0.9315853931799629,put,20.591295862391995,714.0
2606,36,4450.0,4830.475051395201,0.9212344443668522,put,21.215413840893856,284.0
2606,36,4400.0,4830.475051395201,0.9108834955537415,put,21.842108619512253,646.0
2606,36,4350.0,4830.475051395201,0.9005325467406308,put,22.684259953347322,285.0
2606,36,4300.0,4830.475051395201,0.89018159792752,put,23.715350871527633,538.0
2606,36,4250.0,4830.475051395201,0.8798306491144094,put,24.82058197474942,441.0
2606,36,4200.0,4830.475051395201,0.8694797003012987,put,25.766985989002272,605.0
2606,36,4150.0,4830.475051395201,0.859128751488188,put,26.51373305990222,276.0
2606,36,4100.0,4830.475051395201,0.8487778026750773,put,27.442523269295478,183.0
2606,36,4050.0,4830.475051395201,0.8384268538619666,put,28.44936963020589,130.0
2606,36,4000.0,4830.475051395201,0.8280759050488559,put,30.417144696698912,347.0
2606,36,3950.0,4830.475051395201,0.8177249562357451,put,30.996491962483574,322.0
2606,36,3900.0,4830.475051395201,0.8073740074226345,put,32.01124384747654,123.0
2607,66,5500.0,4798.670555593326,1.1461507799465844,call,21.307380656821884,141.0
2607,66,5400.0,4798.670555593326,1.1253116748566465,call,20.41638568225268,138.0
2607,66,5300.0,4798.670555593326,1.1044725697667086,call,19.87554402231394,114.0
2607,66,5200.0,4798.670555593326,1.0836334646767707,call,19.03262615614655,197.0
2607,66,5100.0,4798.670555593326,1.0627943595868328,call,18.74043139117387,136.0
2607,66,5000.0,4798.670555593326,1.0419552544968949,call,18.33005699176738,294.0
2607,66,4950.0,4798.670555593326,1.031535701951926,call,18.20754332538674,300.0
2607,66,4900.0,4798.670555593326,1.021116149406957,call,18.3557846335136,235.0
2607,66,4850.0,4798.670555593326,1.010696596861988,put,19.31675229418093,89.0
2607,66,4800.0,4798.670555593326,1.000277044317019,call,18.46997100318734,209.0
2607,66,4750.0,4798.670555593326,0.9898574917720502,put,18.5065969671807,191.0
2607,66,4700.0,4798.670555593326,0.9794379392270812,put,18.762144046674436,170.0
2607,66,4650.0,4798.670555593326,0.9690183866821123,put,19.230651193353978,136.0
2607,66,4600.0,4798.670555593326,0.9585988341371433,put,19.74425553234257,129.0
2607,66,4550.0,4798.670555593326,0.9481792815921744,put,19.635716082068193,229.0
2607,66,4500.0,4798.670555593326,0.9377597290472054,put,20.020480613083706,406.0
2607,66,4450.0,4798.670555593326,0.9273401765022364,put,21.150575711357806,282.0
2607,66,4400.0,4798.670555593326,0.9169206239572676,put,21.264701823804177,115.0
2607,66,4350.0,4798.670555593326,0.9065010714122986,put,22.48423544581064,51.0
2607,66,4300.0,4798.670555593326,0.8960815188673297,put,23.089135413362243,140.0
2607,66,4250.0,4798.670555593326,0.8856619663223607,put,23.605480030642003,232.0
2609,128,5600.0,4756.125506489172,1.1774289791889345,call,23.017819166268644,315.0
2609,128,5400.0,4756.125506489172,1.135377944217901,call,21.952942052183566,717.0
2609,128,5200.0,4756.125506489172,1.0933269092468678,call,21.273376758957077,792.0
2609,128,5000.0,4756.125506489172,1.0512758742758344,call,20.335684910818713,357.0
2609,128,4900.0,4756.125506489172,1.0302503567903176,call,20.018310336160468,202.0
2609,128,4800.0,4756.125506489172,1.0092248393048011,call,19.80372368454294,256.0
2609,128,4700.0,4756.125506489172,0.9881993218192844,put,19.617017153580882,93.0
2609,128,4600.0,4756.125506489172,0.9671738043337677,put,19.559487563730567,98.0
2609,128,4500.0,4756.125506489172,0.9461482868482509,call,20.16588008041051,139.0
2609,128,4400.0,4756.125506489172,0.9251227693627343,put,19.978725993424696,181.0
2609,128,4300.0,4756.125506489172,0.9040972518772176,put,20.645398881560894,354.0
2609,128,4200.0,4756.125506489172,0.8830717343917008,put,20.737229741155325,157.0
2609,128,4100.0,4756.125506489172,0.8620462169061842,put,21.21627282606406,65.0
2609,128,4000.0,4756.125506489172,0.8410206994206675,put,21.646096226339242,204.0
2609,128,3900.0,4756.125506489172,0.8199951819351509,call,17.276717282994394,18.0
2612,219,5600.0,4721.881746565996,1.1859678620864698,call,22.6633636918299,97.0
2612,219,5400.0,4721.881746565996,1.143611867011953,call,21.915414366124487,352.0
2612,219,5200.0,4721.881746565996,1.1012558719374361,call,21.313586470093686,88.0
