maturity,days,strike,forward,moneyness,option_type,iv,volume
2607,32,9900.0,8672.812068175217,1.141498273244953,call,26.386269332566187,1902.0
2607,32,9800.0,8672.812068175217,1.1299679876566202,call,26.143908070739467,896.0
2607,32,9700.0,8672.812068175217,1.1184377020682872,call,25.81163757490747,922.0
2607,32,9600.0,8672.812068175217,1.1069074164799544,call,25.54781120419523,1254.0
2607,32,9500.0,8672.812068175217,1.0953771308916216,call,25.493205121712847,2417.0
2607,32,9400.0,8672.812068175217,1.0838468453032888,call,25.225868569190496,2011.0
2607,32,9300.0,8672.812068175217,1.0723165597149558,call,25.07685636334565,2496.0
2607,32,9200.0,8672.812068175217,1.060786274126623,call,24.99077914254249,5768.0
2607,32,9100.0,8672.812068175217,1.0492559885382902,call,24.85943324155258,5926.0
2607,32,9000.0,8672.812068175217,1.0377257029499574,call,25.198628927460554,10690.0
2607,32,8900.0,8672.812068175217,1.0261954173616243,call,25.11034449282364,5344.0
2607,32,8800.0,8672.812068175217,1.0146651317732915,call,25.30944206713373,7834.0
2607,32,8700.0,8672.812068175217,1.0031348461849587,call,25.355805067585045,8042.0
2607,32,8600.0,8672.812068175217,0.9916045605966258,call,25.356225684362954,7447.0
2607,32,8500.0,8672.812068175217,0.980074275008293,put,25.38720969695981,6006.0
2607,32,8400.0,8672.812068175217,0.9685439894199601,put,25.561912058679486,3859.0
2607,32,8300.0,8672.812068175217,0.9570137038316273,put,25.85753258305567,4659.0
2607,32,8200.0,8672.812068175217,0.9454834182432944,put,26.36865583733703,5233.0
2607,32,8100.0,8672.812068175217,0.9339531326549616,put,26.784421637117973,3429.0
2607,32,8000.0,8672.812068175217,0.9224228470666287,put,27.32458296272234,5305.0
2607,32,7900.0,8672.812068175217,0.9108925614782959,put,27.879866321183076,1721.0
2607,32,7800.0,8672.812068175217,0.899362275889963,put,28.61167078895674,1802.0
2607,32,7700.0,8672.812068175217,0.8878319903016301,put,29.085294975851024,1489.0
2607,32,7600.0,8672.812068175217,0.8763017047132973,put,29.638392459111873,1222.0
2607,32,7500.0,8672.812068175217,0.8647714191249644,put,30.903902653023234,1068.0
2607,32,7400.0,8672.812068175217,0.8532411335366316,put,31.868802227712962,1231.0
2607,32,7300.0,8672.812068175217,0.8417108479482986,put,32.3098529336144,473.0
2607,32,7200.0,8672.812068175217,0.8301805623599658,put,33.38428706208244,1097.0
2608,63,9700.0,8587.53932699699,1.1295435899205402,call,28.21114771779807,289.0
2608,63,9600.0,8587.53932699699,1.1178988106430088,call,28.19603619016448,158.0
2608,63,9500.0,8587.53932699699,1.1062540313654776,call,27.877621526110552,121.0
2608,63,9400.0,8587.53932699699,1.0946092520879462,call,27.734747205245668,120.0
2608,63,9300.0,8587.53932699699,1.0829644728104149,call,27.749966336460147,93.0
2608,63,9200.0,8587.53932699699,1.0713196935328835,call,27.66561327577202,110.0
2608,63,9100.0,8587.53932699699,1.059674914255352,call,27.38423668947439,186.0
2608,63,9000.0,8587.53932699699,1.0480301349778207,call,27.361392712392085,401.0
2608,63,8900.0,8587.53932699699,1.0363853557002896,call,27.465826751560012,65.0
2608,63,8800.0,8587.53932699699,1.0247405764227582,call,27.461505467916968,300.0
2608,63,8700.0,8587.53932699699,1.0130957971452268,call,27.357590904227408,177.0
2608,63,8600.0,8587.53932699699,1.0014510178676954,put,27.14449239087184,270.0
2608,63,8500.0,8587.53932699699,0.9898062385901641,call,27.723432121727686,577.0
2608,63,8400.0,8587.53932699699,0.9781614593126328,put,27.80127872634971,177.0
2608,63,8300.0,8587.53932699699,0.9665166800351014,put,27.566525760213572,163.0
2608,63,8200.0,8587.53932699699,0.9548719007575701,put,28.014609642921272,175.0
2608,63,8100.0,8587.53932699699,0.9432271214800387,put,28.248872958656374,269.0
2608,63,8000.0,8587.53932699699,0.9315823422025074,put,28.582518577868367,362.0
2608,63,7900.0,8587.53932699699,0.9199375629249761,put,29.01857694230253,91.0
2608,63,7800.0,8587.53932699699,0.9082927836474447,put,29.341984946087184,271.0
2608,63,7700.0,8587.53932699699,0.8966480043699133,put,29.659245932412553,129.0
2608,63,7600.0,8587.53932699699,0.885003225092382,put,30.35923436085438,237.0
2608,63,7500.0,8587.53932699699,0.8733584458148507,put,30.950969922865777,177.0
2608,63,7400.0,8587.53932699699,0.8617136665373193,put,31.37052712775888,215.0
2608,63,7300.0,8587.53932699699,0.850068887259788,put,31.978900173202536,56.0
2608,63,7200.0,8587.53932699699,0.8384241079822566,put,32.29518792423981,300.0
2609,94,9800.0,8524.876111913825,1.1495768233281587,call,28.638657820968376,883.0
2609,94,9600.0,8524.876111913825,1.1261160718316656,call,28.32398471929778,1032.0
2609,94,9400.0,8524.876111913825,1.1026553203351726,call,27.93665295869068,781.0
2609,94,9200.0,8524.876111913825,1.0791945688386797,call,27.970169482744687,759.0
2609,94,9000.0,8524.876111913825,1.0557338173421866,call,27.859250599349313,1360.0
2609,94,8800.0,8524.876111913825,1.0322730658456936,call,27.81608987548156,936.0
2609,94,8600.0,8524.876111913825,1.0088123143492005,call,27.868395516214672,1052.0
2609,94,8400.0,8524.876111913825,0.9853515628527074,put,27.88409459735967,712.0
2609,94,8200.0,8524.876111913825,0.9618908113562145,put,28.34250250591048,565.0
2609,94,8000.0,8524.876111913825,0.9384300598597214,put,28.740670239193296,1102.0
2609,94,7800.0,8524.876111913825,0.9149693083632283,put,28.957503913740545,396.0
2609,94,7600.0,8524.876111913825,0.8915085568667354,put,29.582549972147206,419.0
2609,94,7400.0,8524.876111913825,0.8680478053702423,put,30.166486416703002,530.0
