maturity,days,strike,forward,moneyness,option_type,iv,volume,call_iv,put_iv,call_volume,put_volume
2604,21,98000,101102.96137754667,0.9693088972343812,put,23.51099057249311,5929.0,24.01787730595393,23.51099057249311,324.0,5929.0
2604,21,96000,101102.96137754667,0.9495270830051081,put,24.36459234391673,5965.0,20.17641100885518,24.36459234391673,211.0,5965.0
2604,21,94000,101102.96137754667,0.9297452687758351,put,26.721500716818014,4944.0,19.067544444054164,26.721500716818014,170.0,4944.0
2604,21,92000,101102.96137754667,0.9099634545465619,put,29.79492497195914,2122.0,,29.79492497195914,0.0,2122.0
2604,21,90000,101102.96137754667,0.8901816403172889,put,34.105624444289084,8584.0,,34.105624444289084,0.0,8584.0
2604,21,88000,101102.96137754667,0.8703998260880158,put,36.175990424773694,1202.0,,36.175990424773694,0.0,1202.0
2604,21,86000,101102.96137754667,0.8506180118587428,put,39.09707672446775,617.0,,39.09707672446775,0.0,617.0
2604,21,84000,101102.96137754667,0.8308361976294696,put,42.14691800730486,392.0,,42.14691800730486,0.0,392.0
2604,21,82000,101102.96137754667,0.8110543834001965,put,45.477490036276926,547.0,,45.477490036276926,0.0,547.0
2604,21,110000,101102.96137754667,1.0879997826100198,call,31.71375280493432,15169.0,31.71375280493432,38.095582967318045,15169.0,160.0
2604,21,108000,101102.96137754667,1.0682179683807467,call,29.15840531295542,1775.0,29.15840531295542,35.19515065953159,1775.0,58.0
2604,21,106000,101102.96137754667,1.0484361541514735,call,27.550830489806945,6224.0,27.550830489806945,27.550830489807154,6224.0,719.0
2604,21,104000,101102.96137754667,1.0286543399222006,call,25.57116603666997,7074.0,25.57116603666997,25.220118174180207,7074.0,724.0
2604,21,102000,101102.96137754667,1.0088725256929274,call,23.770156420472883,5228.0,23.770156420472883,22.289977490724297,5228.0,1614.0
2604,21,100000,101102.96137754667,0.9890907114636543,put,22.294254485433658,8387.0,22.428469916142294,22.294254485433658,2178.0,8387.0
2604,21,120000,101102.96137754667,1.1869088537563852,call,41.42253283802877,1177.0,41.42253283802877,,1177.0,0.0
2604,21,118000,101102.96137754667,1.167127039527112,call,39.539999445495795,509.0,39.539999445495795,,509.0,0.0
2604,21,116000,101102.96137754667,1.1473452252978389,call,38.01715449752584,10722.0,38.01715449752584,,10722.0,0.0
2604,21,114000,101102.96137754667,1.127563411068566,call,35.67708674670452,543.0,35.67708674670452,,543.0,0.0
2604,21,112000,101102.96137754667,1.1077815968392928,call,33.61882086924826,751.0,33.61882086924826,,751.0,0.0
2605,52,98000,101216.43542085277,0.9682222021801203,put,25.390676673160318,164.0,,25.390676673160318,0.0,164.0
2605,52,96000,101216.43542085277,0.9484625654009342,put,24.487082973074596,565.0,26.675167977438406,24.487082973074596,101.0,565.0
2605,52,94000,101216.43542085277,0.9287029286217481,put,24.856140994796526,275.0,23.53826559458701,24.856140994796526,69.0,275.0
2605,52,92000,101216.43542085277,0.908943291842562,put,25.743018297913366,277.0,,25.743018297913366,0.0,277.0
2605,52,90000,101216.43542085277,0.8891836550633758,put,26.471740501124717,271.0,,26.471740501124717,0.0,271.0
2605,52,88000,101216.43542085277,0.8694240182841897,put,27.83789392045567,282.0,24.12479999017592,27.83789392045567,65.0,282.0
2605,52,86000,101216.43542085277,0.8496643815050036,put,28.69523836903398,137.0,,28.69523836903398,0.0,137.0
2605,52,84000,101216.43542085277,0.8299047447258174,put,31.065667499186006,71.0,,31.065667499186006,0.0,71.0
2605,52,106000,101216.43542085277,1.0472607492968649,call,29.454348729339113,168.0,29.454348729339113,30.877936705905373,168.0,81.0
2605,52,102000,101216.43542085277,1.0077414757384926,put,26.073130617520253,132.0,26.98726814393076,26.073130617520253,96.0,132.0
2605,52,100000,101216.43542085277,0.9879818389593065,put,24.964143594076706,193.0,26.273542132269313,24.964143594076706,109.0,193.0
2605,52,120000,101216.43542085277,1.1855782067511678,call,36.844514332127645,58.0,36.844514332127645,,58.0,0.0
2605,52,118000,101216.43542085277,1.1658185699719816,call,35.687972483717715,94.0,35.687972483717715,,94.0,0.0
2605,52,116000,101216.43542085277,1.1460589331927955,call,34.74465330459105,503.0,34.74465330459105,,503.0,0.0
2605,52,114000,101216.43542085277,1.1262992964136094,call,33.29225620989746,69.0,33.29225620989746,,69.0,0.0
2605,52,112000,101216.43542085277,1.1065396596344232,call,32.515517317625495,162.0,32.515517317625495,,162.0,0.0
2605,52,110000,101216.43542085277,1.0867800228552371,call,31.252710910134553,429.0,31.252710910134553,,429.0,0.0
2605,52,108000,101216.43542085277,1.067020386076051,call,30.171221859467934,84.0,30.171221859467934,,84.0,0.0
2605,52,104000,101216.43542085277,1.0275011125176787,call,28.020031953922814,166.0,28.020031953922814,,166.0,0.0
