maturity,days,strike,forward,moneyness,option_type,iv,volume,call_iv,put_iv,call_volume,put_volume
2605,26,984,1022.231086581012,0.9626003483137252,put,36.09815525477295,81.0,,36.09815525477295,0.0,81.0
2605,26,960,1022.231086581012,0.9391222910377807,put,38.160961101488866,54.0,,38.160961101488866,0.0,54.0
2605,26,952,1022.231086581012,0.9312962719457992,put,37.858699512501516,55.0,,37.858699512501516,0.0,55.0
2605,26,928,1022.231086581012,0.9078182146698547,put,40.488782704254575,849.0,,40.488782704254575,0.0,849.0
2605,26,920,1022.231086581012,0.8999921955778731,put,41.403235677212464,78.0,,41.403235677212464,0.0,78.0
2605,26,904,1022.231086581012,0.8843401573939101,put,43.01437510348557,65.0,,43.01437510348557,0.0,65.0
2605,26,896,1022.231086581012,0.8765141383019287,put,44.11858173222636,63.0,,44.11858173222636,0.0,63.0
2605,26,888,1022.231086581012,0.8686881192099472,put,43.68392371069299,55.0,,43.68392371069299,0.0,55.0
2605,26,1024,1022.231086581012,1.0017304437736327,put,35.02243364037461,57.0,,35.02243364037461,0.0,57.0
2605,26,1016,1022.231086581012,0.9939044246816512,put,34.34369298718206,75.0,34.34369298718211,34.34369298718206,57.0,75.0
2605,26,1000,1022.231086581012,0.9782523864976882,put,35.44019539240529,202.0,,35.44019539240529,0.0,202.0
2605,26,1200,1022.231086581012,1.173902863797226,call,42.41131898700315,4610.0,42.41131898700315,,4610.0,0.0
2605,26,1160,1022.231086581012,1.1347727683373183,call,38.4633698431159,65.0,38.4633698431159,,65.0,0.0
2605,26,1120,1022.231086581012,1.095642672877411,call,35.61410415642009,112.0,35.61410415642009,,112.0,0.0
2605,26,1104,1022.231086581012,1.0799906346934478,call,34.48818028063918,71.0,34.48818028063918,,71.0,0.0
2605,26,1088,1022.231086581012,1.0643385965094847,call,33.38568544300918,7397.0,33.38568544300918,,7397.0,0.0
2605,26,1080,1022.231086581012,1.0565125774175033,call,32.551819978421825,51.0,32.551819978421825,,51.0,0.0
2605,26,1064,1022.231086581012,1.0408605392335404,call,33.77753110672999,55.0,33.77753110672999,,55.0,0.0
2605,26,1056,1022.231086581012,1.0330345201415587,call,33.783558034845335,53.0,33.783558034845335,,53.0,0.0
2605,26,1048,1022.231086581012,1.0252085010495773,call,32.17320377043057,59.0,32.17320377043057,,59.0,0.0
2605,26,1040,1022.231086581012,1.0173824819575958,call,32.371446617965006,149.0,32.371446617965006,,149.0,0.0
2605,26,1032,1022.231086581012,1.0095564628656142,call,32.0335405034582,112.0,32.0335405034582,,112.0,0.0
2606,56,992,1022.9742130760203,0.9697214136191344,put,35.4905659093366,212.0,35.349295933157826,35.4905659093366,82.0,212.0
2606,56,984,1022.9742130760203,0.9619010796383349,put,35.7662646421351,97.0,,35.7662646421351,0.0,97.0
2606,56,976,1022.9742130760203,0.9540807456575354,put,36.093648147574015,141.0,36.61475599904785,36.093648147574015,68.0,141.0
2606,56,968,1022.9742130760203,0.946260411676736,put,36.549289953827774,103.0,,36.549289953827774,0.0,103.0
2606,56,960,1022.9742130760203,0.9384400776959365,put,36.989651095851,738.0,36.73680677346074,36.989651095851,189.0,738.0
2606,56,952,1022.9742130760203,0.930619743715137,put,37.21180988820667,106.0,,37.21180988820667,0.0,106.0
2606,56,944,1022.9742130760203,0.9227994097343376,put,37.61014860594314,94.0,,37.61014860594314,0.0,94.0
2606,56,936,1022.9742130760203,0.9149790757535381,put,38.017957652849674,68.0,,38.017957652849674,0.0,68.0
2606,56,928,1022.9742130760203,0.9071587417727386,put,38.58768786188666,116.0,,38.58768786188666,0.0,116.0
2606,56,920,1022.9742130760203,0.8993384077919392,put,39.021497248636756,95.0,39.02149724863675,39.021497248636756,186.0,95.0
2606,56,912,1022.9742130760203,0.8915180738111397,put,39.624624090522275,79.0,,39.624624090522275,0.0,79.0
2606,56,904,1022.9742130760203,0.8836977398303402,put,39.727644237141426,7813.0,,39.727644237141426,0.0,7813.0
2606,56,896,1022.9742130760203,0.8758774058495408,put,40.26451834036521,120.0,,40.26451834036521,0.0,120.0
2606,56,888,1022.9742130760203,0.8680570718687413,put,41.317580658324346,50.0,,41.317580658324346,0.0,50.0
2606,56,880,1022.9742130760203,0.8602367378879417,put,41.609676727018226,78.0,52.39357978912135,41.609676727018226,272.0,78.0
2606,56,1048,1022.9742130760203,1.0244637514847308,call,34.444339203739446,130.0,34.444339203739446,34.41275525513211,130.0,78.0
2606,56,1040,1022.9742130760203,1.0166434175039312,call,34.32081866824881,1235.0,34.32081866824881,34.38333060197189,1235.0,105.0
2606,56,1032,1022.9742130760203,1.0088230835231318,call,34.512923551840416,154.0,34.512923551840416,34.430511564351846,154.0,99.0
2606,56,1024,1022.9742130760203,1.0010027495423324,call,34.490763127443316,294.0,34.490763127443316,34.728659627583994,294.0,218.0
2606,56,1016,1022.9742130760203,0.9931824155615327,put,34.901139736998324,198.0,34.719318891794735,34.901139736998324,190.0,198.0
2606,56,1008,1022.9742130760203,0.9853620815807334,put,35.01027187327935,159.0,34.744378263227134,35.01027187327935,101.0,159.0
2606,56,1000,1022.9742130760203,0.9775417475999338,put,35.28698376794029,3618.0,35.321662039031274,35.28698376794029,3661.0,3618.0
2606,56,1224,1022.9742130760203,1.1965110990623191,call,40.49330759414714,146.0,40.49330759414714,,146.0,0.0
2606,56,1208,1022.9742130760203,1.18087043110072,call,40.9000603263988,55.0,40.9000603263988,,55.0,0.0
2606,56,1200,1022.9742130760203,1.1730500971199207,call,40.08332037521793,11386.0,40.08332037521793,,11386.0,0.0
