maturity,days,strike,forward,moneyness,option_type,iv,volume,call_iv,put_iv,call_volume,put_volume
2605,27,17000,16540.0,1.0278113663845223,call,23.44766066050374,9318.0,23.44766066050374,25.000904460327405,9318.0,232.0
2605,27,16750,16540.0,1.0126964933494558,call,20.72088204131211,922.0,20.72088204131211,22.6168541000821,922.0,209.0
2605,27,16500,16540.0,0.9975816203143894,call,20.497663815589533,2380.0,20.497663815589533,20.71739141061441,2380.0,567.0
2605,27,16250,16540.0,0.9824667472793228,put,20.240025017021125,577.0,18.9024610645072,20.240025017021125,226.0,577.0
2605,27,16000,16540.0,0.9673518742442564,put,20.239233185201858,3453.0,19.346334074794232,20.239233185201858,542.0,3453.0
2605,27,15750,16540.0,0.9522370012091899,put,20.840890907150968,298.0,18.80526557618872,20.840890907150968,54.0,298.0
2605,27,15500,16540.0,0.9371221281741233,put,21.523387992043578,1276.0,,21.523387992043578,0.0,1276.0
2605,27,15250,16540.0,0.9220072551390568,put,22.54433602482929,317.0,,22.54433602482929,0.0,317.0
2605,27,15000,16540.0,0.9068923821039904,put,25.47355820300207,1259.0,,25.47355820300207,0.0,1259.0
2605,27,14750,16540.0,0.8917775090689238,put,26.33605875491455,121.0,,26.33605875491455,0.0,121.0
2605,27,14500,16540.0,0.8766626360338573,put,27.712362822780072,156.0,,27.712362822780072,0.0,156.0
2605,27,14250,16540.0,0.8615477629987908,put,29.445108380351538,51.0,,29.445108380351538,0.0,51.0
2605,27,14000,16540.0,0.8464328899637243,put,31.99247396773519,62.0,,31.99247396773519,0.0,62.0
2605,27,13250,16540.0,0.8010882708585247,put,37.560590494796095,104.0,,37.560590494796095,0.0,104.0
2605,27,19750,16540.0,1.194074969770254,call,37.60526352986583,3366.0,37.60526352986583,,3366.0,0.0
2605,27,19500,16540.0,1.1789600967351874,call,36.90931906534342,69.0,36.90931906534342,,69.0,0.0
2605,27,19250,16540.0,1.163845223700121,call,35.55344193768172,73.0,35.55344193768172,,73.0,0.0
2605,27,19000,16540.0,1.1487303506650544,call,34.32101611578521,1149.0,34.32101611578521,,1149.0,0.0
2605,27,18750,16540.0,1.1336154776299878,call,33.25534414710677,66.0,33.25534414710677,,66.0,0.0
2605,27,18500,16540.0,1.1185006045949215,call,31.742834106780286,167.0,31.742834106780286,,167.0,0.0
2605,27,18250,16540.0,1.103385731559855,call,30.17476078223703,423.0,30.17476078223703,,423.0,0.0
2605,27,18000,16540.0,1.0882708585247884,call,29.25090221639117,6332.0,29.25090221639117,,6332.0,0.0
2605,27,17750,16540.0,1.073155985489722,call,27.635326964336553,466.0,27.635326964336553,,466.0,0.0
2605,27,17500,16540.0,1.0580411124546554,call,25.56102357093803,755.0,25.56102357093803,,755.0,0.0
2605,27,17250,16540.0,1.0429262394195888,call,24.222916740686866,409.0,24.222916740686866,,409.0,0.0
2609,149,16500,16565.0,0.9960760639903411,put,22.50247467769416,66.0,,22.50247467769416,0.0,66.0
2609,149,16000,16565.0,0.9658919408391187,put,21.50271103525431,121.0,,21.50271103525431,0.0,121.0
2609,149,15750,16565.0,0.9507998792635074,put,21.533567043028043,58.0,,21.533567043028043,0.0,58.0
2609,149,15000,16565.0,0.9055236945366737,put,21.027153542881447,77.0,,21.027153542881447,0.0,77.0
2609,149,14500,16565.0,0.8753395713854513,put,21.58908166088534,69.0,,21.58908166088534,0.0,69.0
2609,149,19500,16565.0,1.1771808028976758,call,27.899176714553708,330.0,27.899176714553708,,330.0,0.0
2609,149,19000,16565.0,1.1469966797464535,call,26.362904882776313,69.0,26.362904882776313,,69.0,0.0
2609,149,18000,16565.0,1.0866284334440084,call,24.407726305032778,142.0,24.407726305032778,,142.0,0.0
2609,149,17000,16565.0,1.0262601871415635,call,22.090493287521458,71.0,22.090493287521458,,71.0,0.0
