maturity,days,strike,forward,moneyness,option_type,iv,volume
2604,31,3450.0,2884.8329595613272,1.1959097973300379,call,29.395900175479873,143.0
2604,31,3400.0,2884.8329595613272,1.1785777712817764,call,27.816830392287685,112.0
2604,31,3350.0,2884.8329595613272,1.161245745233515,call,25.294738865449606,155.0
2604,31,3300.0,2884.8329595613272,1.1439137191852535,call,23.920188212081438,180.0
2604,31,3250.0,2884.8329595613272,1.126581693136992,call,21.66385788132814,155.0
2604,31,3200.0,2884.8329595613272,1.1092496670887306,call,20.707286119460786,344.0
2604,31,3150.0,2884.8329595613272,1.0919176410404694,call,19.218753485476682,212.0
2604,31,3100.0,2884.8329595613272,1.074585614992208,call,17.767485181332813,788.0
2604,31,3050.0,2884.8329595613272,1.0572535889439465,call,17.00158935144487,707.0
2604,31,3000.0,2884.8329595613272,1.039921562895685,call,16.683386101003137,2391.0
2604,31,2950.0,2884.8329595613272,1.0225895368474236,call,16.088721594326326,1799.0
2604,31,2900.0,2884.8329595613272,1.0052575107991621,call,16.46249176027191,2243.0
2604,31,2850.0,2884.8329595613272,0.9879254847509008,put,17.04350218727622,1530.0
2604,31,2800.0,2884.8329595613272,0.9705934587026394,put,18.857389046579712,1378.0
2604,31,2750.0,2884.8329595613272,0.9532614326543779,put,19.758141606455357,1084.0
2604,31,2700.0,2884.8329595613272,0.9359294066061166,put,21.48426665506391,527.0
2604,31,2650.0,2884.8329595613272,0.9185973805578551,put,23.255340791819165,345.0
2604,31,2600.0,2884.8329595613272,0.9012653545095937,put,25.10676065408032,234.0
2605,61,3400.0,2914.494305295736,1.1665831680721022,call,22.660001198624,18.0
2605,61,3350.0,2914.494305295736,1.1494275332475123,call,29.091056032554214,2.0
2605,61,3300.0,2914.494305295736,1.1322718984229225,call,20.682294831079755,30.0
2605,61,3250.0,2914.494305295736,1.115116263598333,call,19.586907921309678,32.0
2605,61,3200.0,2914.494305295736,1.0979606287737431,call,19.09959932947585,66.0
2605,61,3150.0,2914.494305295736,1.0808049939491533,call,17.999535702641968,16.0
2605,61,3100.0,2914.494305295736,1.0636493591245637,call,17.07522595683164,95.0
2605,61,3050.0,2914.494305295736,1.046493724299974,call,15.89856820824799,112.0
2605,61,3000.0,2914.494305295736,1.0293380894753843,call,15.529426530443779,41.0
2605,61,2950.0,2914.494305295736,1.0121824546507945,call,15.614003449465214,43.0
2605,61,2900.0,2914.494305295736,0.9950268198262047,call,14.475952903450425,30.0
2605,61,2850.0,2914.494305295736,0.977871185001615,put,18.18104577907072,39.0
2605,61,2800.0,2914.494305295736,0.9607155501770253,put,18.154451988757035,21.0
2605,61,2750.0,2914.494305295736,0.9435599153524356,put,19.283118503418137,64.0
2605,61,2700.0,2914.494305295736,0.9264042805278457,put,19.62481450516736,36.0
2605,61,2650.0,2914.494305295736,0.909248645703256,put,20.571825532531605,17.0
2605,61,2600.0,2914.494305295736,0.8920930108786663,put,21.612689919316974,42.0
2606,92,3400.0,2882.373747032393,1.1795833220797753,call,22.11433920800135,113.0
2606,92,3300.0,2882.373747032393,1.1448896949597818,call,19.31478320833702,668.0
2606,92,3200.0,2882.373747032393,1.1101960678397884,call,19.967583032359954,10.0
2606,92,3100.0,2882.373747032393,1.075502440719795,call,19.244375549880754,294.0
2606,92,3000.0,2882.373747032393,1.0408088135998017,call,18.74525264953743,78.0
2606,92,2900.0,2882.373747032393,1.0061151864798084,call,18.345066356276572,228.0
2606,92,2800.0,2882.373747032393,0.9714215593598149,put,17.811020285732816,112.0
2606,92,2700.0,2882.373747032393,0.9367279322398215,put,18.561419080397577,88.0
2606,92,2600.0,2882.373747032393,0.9020343051198282,put,18.369040019142485,117.0
2606,92,2500.0,2882.373747032393,0.8673406779998347,put,20.672423739150737,45.0
2606,92,2450.0,2882.373747032393,0.849993864439838,put,20.868826890687668,16.0
2606,92,2400.0,2882.373747032393,0.8326470508798414,put,22.123648217528984,43.0
2609,184,3400.0,2850.5497880270595,1.1927523645721794,call,22.456276960714735,52.0
2609,184,3300.0,2850.5497880270595,1.1576714126729977,call,22.455838451546434,7.0
2609,184,3200.0,2850.5497880270595,1.122590460773816,call,20.59623544981772,53.0
2609,184,3100.0,2850.5497880270595,1.087509508874634,call,20.61793728018867,69.0
2609,184,3000.0,2850.5497880270595,1.0524285569754523,put,19.79745877079625,15.0
2609,184,2900.0,2850.5497880270595,1.0173476050762706,call,19.312935474995303,157.0
2609,184,2800.0,2850.5497880270595,0.9822666531770889,call,18.85844610617763,149.0
2609,184,2700.0,2850.5497880270595,0.9471857012779071,put,17.791015618341188,195.0
2609,184,2600.0,2850.5497880270595,0.9121047493787254,put,17.965415682025306,59.0
2612,275,3400.0,2889.4369673639985,1.1766998340516777,call,22.138566741523768,3.0
2612,275,3300.0,2889.4369673639985,1.142091015403099,call,21.575867392608313,19.0
2612,275,3200.0,2889.4369673639985,1.1074821967545203,call,20.836768810007886,10.0
2612,275,3100.0,2889.4369673639985,1.0728733781059414,call,20.024265336052796,51.0
2612,275,3000.0,2889.4369673639985,1.0382645594573627,call,20.053424506030076,105.0
2612,275,2900.0,2889.4369673639985,1.0036557408087838,call,18.841734388496793,17.0
2612,275,2800.0,2889.4369673639985,0.9690469221602052,put,18.905250386163463,5.0
2612,275,2700.0,2889.4369673639985,0.9344381035116264,put,17.97467710232987,37.0
2612,275,2600.0,2889.4369673639985,0.8998292848630477,put,17.801658992472312,49.0
