maturity,days,strike,forward,moneyness,option_type,iv,volume,call_iv,put_iv,call_volume,put_volume
2609,14,3050,2989.0,1.0204081632653061,call,10.942856941710021,2424.0,10.942856941710021,9.18657080446501,2424.0,98.0
2609,14,3000,2989.0,1.0036801605888257,call,10.09187671703356,1721.0,10.09187671703356,9.005966693794456,1721.0,745.0
2609,14,2950,2989.0,0.9869521579123453,put,9.047461454549088,810.0,,9.047461454549088,0.0,810.0
2609,14,2900,2989.0,0.9702241552358648,put,12.253916734744966,571.0,10.735023144845282,12.253916734744966,79.0,571.0
2609,14,2800,2989.0,0.936768149882904,put,18.535632633384154,55.0,,18.535632633384154,0.0,55.0
2609,14,3200,2989.0,1.0705921712947475,call,17.72592477387444,152.0,17.72592477387444,,152.0,0.0
2609,14,3150,2989.0,1.053864168618267,call,16.216679621989886,134.0,16.216679621989886,,134.0,0.0
2609,14,3100,2989.0,1.0371361659417866,call,13.405380006014736,447.0,13.405380006014736,,447.0,0.0
2610,45,3200,3010.0,1.06312292358804,call,13.605564942669263,5896.0,13.605564942669263,13.11048665903502,5896.0,1164.0
2610,45,3150,3010.0,1.0465116279069768,call,12.103849598036826,3549.0,12.103849598036826,11.653327485974376,3549.0,467.0
2610,45,3100,3010.0,1.0299003322259137,call,11.128840178129604,5928.0,11.128840178129604,10.743913739542755,5928.0,221.0
2610,45,3050,3010.0,1.0132890365448506,call,10.42299491337295,8847.0,10.42299491337295,9.948042644372745,8847.0,1087.0
2610,45,3000,3010.0,0.9966777408637874,put,9.720951019150268,5048.0,9.72832057264323,9.720951019150268,4763.0,5048.0
2610,45,2950,3010.0,0.9800664451827242,put,10.17955266663762,9791.0,10.650760987208745,10.17955266663762,811.0,9791.0
2610,45,2900,3010.0,0.9634551495016611,put,10.943308610346818,6481.0,11.818662857284492,10.943308610346818,600.0,6481.0
2610,45,2850,3010.0,0.946843853820598,put,12.198891590846184,2608.0,11.620509928705774,12.198891590846184,290.0,2608.0
2610,45,2800,3010.0,0.9302325581395349,put,14.036391627792744,5182.0,15.443340236789357,14.036391627792744,402.0,5182.0
2610,45,2750,3010.0,0.9136212624584718,put,15.35514693580905,870.0,,15.35514693580905,0.0,870.0
2610,45,2700,3010.0,0.8970099667774086,put,16.59252687755604,425.0,,16.59252687755604,0.0,425.0
2610,45,2650,3010.0,0.8803986710963455,put,18.097581014157154,961.0,,18.097581014157154,0.0,961.0
2610,45,2600,3010.0,0.8637873754152824,put,21.33466602263531,1973.0,,21.33466602263531,0.0,1973.0
2610,45,3600,3010.0,1.196013289036545,call,24.64190658741464,297.0,24.64190658741464,,297.0,0.0
2610,45,3550,3010.0,1.1794019933554818,call,22.05949531937636,674.0,22.05949531937636,,674.0,0.0
2610,45,3500,3010.0,1.1627906976744187,call,21.360591355237922,454.0,21.360591355237922,,454.0,0.0
2610,45,3450,3010.0,1.1461794019933556,call,19.653160088711022,141.0,19.653160088711022,,141.0,0.0
2610,45,3400,3010.0,1.1295681063122924,call,18.579629335288484,359.0,18.579629335288484,,359.0,0.0
2610,45,3350,3010.0,1.1129568106312293,call,17.790445876361645,1219.0,17.790445876361645,,1219.0,0.0
2610,45,3300,3010.0,1.0963455149501662,call,16.20983344194038,1809.0,16.20983344194038,,1809.0,0.0
2610,45,3250,3010.0,1.079734219269103,call,14.792746256412423,1916.0,14.792746256412423,,1916.0,0.0
2701,136,3250,3043.0,1.0680249753532698,call,11.905722312678488,101.0,11.905722312678488,13.317216750332229,101.0,184.0
2701,136,3200,3043.0,1.0515938218862964,call,11.391094599635839,158.0,11.391094599635839,11.469635223802058,158.0,176.0
2701,136,3100,3043.0,1.0187315149523497,call,10.528602254766776,253.0,10.528602254766776,10.813844352576183,253.0,189.0
2701,136,3050,3043.0,1.0023003614853763,put,10.611807618243827,382.0,10.807283476215886,10.611807618243827,327.0,382.0
2701,136,3000,3043.0,0.9858692080184029,put,10.766233781634915,288.0,,10.766233781634915,0.0,288.0
2701,136,2950,3043.0,0.9694380545514295,put,11.033509428547864,141.0,10.935253366381872,11.033509428547864,180.0,141.0
2701,136,2900,3043.0,0.9530069010844562,put,11.810608506992276,458.0,10.70853768497332,11.810608506992276,178.0,458.0
2701,136,2850,3043.0,0.9365757476174827,put,12.276954948538581,303.0,11.159798123913097,12.276954948538581,82.0,303.0
2701,136,2800,3043.0,0.9201445941505094,put,13.14696913678388,350.0,,13.14696913678388,0.0,350.0
2701,136,2750,3043.0,0.903713440683536,put,13.804740209599112,203.0,,13.804740209599112,0.0,203.0
2701,136,3500,3043.0,1.1501807426881367,call,15.72453544752816,193.0,15.72453544752816,,193.0,0.0
2701,136,3400,3043.0,1.1173184357541899,call,14.165700367549622,343.0,14.165700367549622,,343.0,0.0
2701,136,3350,3043.0,1.1008872822872167,call,13.460809868214577,202.0,13.460809868214577,,202.0,0.0
2701,136,3300,3043.0,1.0844561288202432,call,12.686834870974707,133.0,12.686834870974707,,133.0,0.0
2701,136,3150,3043.0,1.0351626684193231,call,10.800597187518786,225.0,10.800597187518786,,225.0,0.0
