ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
HO2606-C-3100.CFX,20260122,135.0,140.0,147.4,147.4,130.4,136.4,136.4,157.0,212.542,527.0
HO2606-C-3000.CFX,20260122,181.2,186.0,179.8,179.8,179.8,179.8,178.0,1.0,1.798,372.0
HO2606-C-2900.CFX,20260122,245.6,241.0,235.0,236.4,233.0,233.0,235.4,5.0,11.724,191.0
HO2606-C-2800.CFX,20260122,313.0,321.0,320.0,320.0,302.8,303.2,303.2,5.0,15.49,182.0
HO2606-C-2700.CFX,20260122,396.4,411.6,,,,411.6,385.6,0.0,0.0,49.0
HO2606-C-2600.CFX,20260122,486.0,517.8,,,,517.8,474.6,0.0,0.0,47.0
HO2606-C-2500.CFX,20260122,579.4,596.4,,,,596.4,567.2,0.0,0.0,74.0
HO2606-C-2450.CFX,20260122,625.0,639.8,,,,639.8,606.2,0.0,0.0,19.0
HO2606-C-2400.CFX,20260122,673.4,704.4,660.8,660.8,660.8,660.8,654.6,4.0,26.558,34.0
HO2604-P-3400.CFX,20260122,348.6,342.8,,,,342.8,355.0,0.0,0.0,0.0
HO2604-P-3350.CFX,20260122,304.6,300.8,,,,300.8,310.0,0.0,0.0,0.0
HO2604-P-3300.CFX,20260122,261.0,260.8,,,,260.8,265.6,0.0,0.0,0.0
HO2604-P-3250.CFX,20260122,222.0,210.2,,,,210.2,224.6,0.0,0.0,5.0
HO2604-P-3200.CFX,20260122,184.8,175.4,,,,175.4,184.8,0.0,0.0,12.0
HO2604-P-3150.CFX,20260122,150.2,140.2,144.6,154.0,144.6,146.8,153.4,37.0,55.502,42.0
HO2604-P-3100.CFX,20260122,119.4,117.0,109.0,122.0,109.0,115.0,121.8,50.0,59.29,48.0
HO2604-P-3050.CFX,20260122,92.8,92.0,88.2,95.2,87.6,87.8,91.2,60.0,55.402,38.0
HO2604-P-3000.CFX,20260122,70.2,69.2,67.8,72.2,62.8,71.0,68.4,53.0,36.48,44.0
HO2604-P-2950.CFX,20260122,52.6,45.6,50.2,52.4,47.2,48.8,48.8,94.0,47.79,50.0
