ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
I2606-P-580.DCE,20260121,2.7,2.7,0.0,0.0,0.0,2.7,2.7,0.0,0.0,17.0
I2606-P-560.DCE,20260121,2.3,2.3,0.0,0.0,0.0,2.3,2.3,0.0,0.0,5.0
I2606-P-540.DCE,20260121,1.9,1.9,0.0,0.0,0.0,2.0,2.0,0.0,0.0,14.0
I2606-C-930.DCE,20260121,5.9,5.9,0.0,0.0,0.0,5.9,5.9,0.0,0.0,0.0
I2606-C-920.DCE,20260121,6.5,6.5,0.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0
I2606-C-910.DCE,20260121,7.1,7.1,0.0,0.0,0.0,7.1,7.1,0.0,0.0,0.0
I2606-C-900.DCE,20260121,7.8,7.8,0.0,0.0,0.0,7.9,7.9,0.0,0.0,39.0
I2606-C-890.DCE,20260121,8.6,8.6,0.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0
I2606-C-880.DCE,20260121,9.5,9.5,0.0,0.0,0.0,9.6,9.6,0.0,0.0,34.0
I2606-C-870.DCE,20260121,10.5,10.5,0.0,0.0,0.0,10.7,10.7,0.0,0.0,0.0
I2606-C-860.DCE,20260121,11.6,11.6,0.0,0.0,0.0,11.9,11.9,0.0,0.0,12.0
I2606-C-850.DCE,20260121,12.9,12.9,0.0,0.0,0.0,13.3,13.3,0.0,0.0,0.0
I2606-C-840.DCE,20260121,14.5,14.5,0.0,0.0,0.0,15.0,15.0,0.0,0.0,19.0
I2606-C-830.DCE,20260121,16.3,16.3,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0
I2606-C-820.DCE,20260121,18.4,18.4,0.0,0.0,0.0,19.1,19.1,0.0,0.0,13.0
I2606-C-810.DCE,20260121,20.9,20.9,0.0,0.0,0.0,21.7,21.7,0.0,0.0,0.0
I2606-C-800.DCE,20260121,23.9,23.9,0.0,0.0,0.0,24.8,24.8,0.0,0.0,7.0
I2606-C-790.DCE,20260121,27.4,27.4,0.0,0.0,0.0,28.4,28.4,0.0,0.0,0.0
I2606-C-780.DCE,20260121,31.5,31.5,0.0,0.0,0.0,32.7,32.7,0.0,0.0,5.0
I2606-C-770.DCE,20260121,36.4,36.4,0.0,0.0,0.0,37.6,37.6,0.0,0.0,0.0
I2606-C-760.DCE,20260121,42.0,42.0,0.0,0.0,0.0,43.3,43.3,0.0,0.0,4.0
I2606-C-750.DCE,20260121,48.5,48.5,0.0,0.0,0.0,49.7,49.7,0.0,0.0,0.0
I2606-C-740.DCE,20260121,55.6,55.6,0.0,0.0,0.0,56.9,56.9,0.0,0.0,2.0
I2606-C-730.DCE,20260121,63.5,63.5,0.0,0.0,0.0,64.6,64.6,0.0,0.0,0.0
I2606-C-720.DCE,20260121,71.8,71.8,0.0,0.0,0.0,72.9,72.9,0.0,0.0,1.0
I2606-C-710.DCE,20260121,80.5,80.5,0.0,0.0,0.0,81.6,81.6,0.0,0.0,0.0
I2606-C-700.DCE,20260121,89.6,89.6,0.0,0.0,0.0,90.6,90.6,0.0,0.0,4.0
I2606-C-690.DCE,20260121,98.8,98.8,0.0,0.0,0.0,99.8,99.8,0.0,0.0,0.0
I2606-C-680.DCE,20260121,108.1,108.1,0.0,0.0,0.0,109.1,109.1,0.0,0.0,2.0
I2606-C-670.DCE,20260121,117.6,117.6,0.0,0.0,0.0,118.6,118.6,0.0,0.0,0.0
I2606-C-660.DCE,20260121,127.1,127.1,0.0,0.0,0.0,128.1,128.1,0.0,0.0,0.0
I2606-C-640.DCE,20260121,146.3,146.3,0.0,0.0,0.0,147.3,147.3,0.0,0.0,0.0
I2606-C-620.DCE,20260121,165.6,165.6,0.0,0.0,0.0,166.7,166.7,0.0,0.0,0.0
I2606-C-600.DCE,20260121,185.1,185.1,0.0,0.0,0.0,186.1,186.1,0.0,0.0,0.0
I2606-C-580.DCE,20260121,204.6,204.6,0.0,0.0,0.0,205.6,205.6,0.0,0.0,0.0
I2606-C-560.DCE,20260121,224.1,224.1,0.0,0.0,0.0,225.2,225.2,0.0,0.0,0.0
I2606-C-540.DCE,20260121,243.7,243.7,0.0,0.0,0.0,244.8,244.8,0.0,0.0,0.0
I2605-P-940.DCE,20260121,156.1,156.1,0.0,0.0,0.0,156.5,156.5,0.0,0.0,7.0
I2605-P-930.DCE,20260121,146.5,146.5,0.0,0.0,0.0,146.9,146.9,0.0,0.0,36.0
I2605-P-920.DCE,20260121,136.9,136.9,137.8,137.8,137.8,137.8,137.3,1.0,1.38,3.0
I2605-P-910.DCE,20260121,127.4,127.4,0.0,0.0,0.0,127.8,127.8,0.0,0.0,10.0
I2605-P-900.DCE,20260121,118.0,118.0,0.0,0.0,0.0,118.4,118.4,0.0,0.0,36.0
I2605-P-890.DCE,20260121,108.7,108.7,0.0,0.0,0.0,109.1,109.1,0.0,0.0,1.0
I2605-P-880.DCE,20260121,99.4,99.4,0.0,0.0,0.0,99.9,99.9,0.0,0.0,29.0
I2605-P-870.DCE,20260121,90.4,90.4,0.0,0.0,0.0,90.8,90.8,0.0,0.0,118.0
I2605-P-860.DCE,20260121,81.4,85.6,81.5,81.5,81.5,81.5,82.0,6.0,4.89,288.0
I2605-P-850.DCE,20260121,72.7,72.7,71.6,71.6,71.6,71.6,73.3,1.0,0.72,441.0
I2605-P-840.DCE,20260121,64.2,64.4,63.3,64.1,63.2,64.1,64.8,8.0,5.07,382.0
I2605-P-830.DCE,20260121,56.1,56.1,54.7,58.1,54.7,58.1,56.7,36.0,20.36,374.0
I2605-P-820.DCE,20260121,48.3,48.1,47.6,51.2,45.5,49.7,49.0,137.0,65.93,1052.0
I2605-P-810.DCE,20260121,40.9,41.0,40.4,43.4,38.9,42.8,41.6,134.0,55.52,1288.0
I2605-P-800.DCE,20260121,34.1,34.2,33.8,37.0,31.6,35.2,34.9,749.0,253.75,2744.0
I2605-P-790.DCE,20260121,27.9,27.1,27.7,30.5,25.8,28.9,28.7,712.0,202.35,3941.0
I2605-P-780.DCE,20260121,22.5,22.6,22.6,25.2,21.0,23.7,23.3,967.0,231.25,3598.0
I2605-P-770.DCE,20260121,17.9,18.0,18.3,20.4,16.8,19.3,18.6,1039.0,200.0,2908.0
I2605-P-760.DCE,20260121,14.1,15.0,14.8,16.6,13.6,15.3,14.7,644.0,95.76,4453.0
I2605-P-750.DCE,20260121,11.1,12.0,11.6,13.3,10.9,12.3,11.6,1170.0,139.75,3584.0
I2605-P-740.DCE,20260121,8.8,9.7,9.7,10.7,8.8,10.0,9.2,427.0,40.92,2011.0
I2605-P-730.DCE,20260121,7.1,7.7,7.7,8.7,7.2,8.0,7.4,543.0,42.75,2551.0
I2605-P-720.DCE,20260121,5.9,6.5,6.3,7.1,6.0,6.6,6.1,542.0,34.84,3320.0
I2605-P-710.DCE,20260121,4.9,5.5,5.3,5.9,5.0,5.1,5.1,285.0,15.36,2117.0
I2605-P-700.DCE,20260121,4.2,4.6,4.8,5.1,4.2,4.5,4.3,3906.0,179.52,16093.0
I2605-P-690.DCE,20260121,3.7,4.0,3.8,4.2,3.6,3.6,3.7,329.0,12.94,1510.0
I2605-P-680.DCE,20260121,3.2,3.4,3.4,3.6,3.0,3.2,3.2,291.0,9.68,1371.0
I2605-P-670.DCE,20260121,2.9,3.0,2.9,3.0,2.7,2.8,2.9,267.0,7.71,684.0
I2605-P-660.DCE,20260121,2.5,2.6,2.6,2.7,2.4,2.5,2.6,242.0,6.24,2254.0
I2605-P-650.DCE,20260121,2.3,2.3,2.3,2.4,2.0,2.1,2.3,231.0,5.18,1133.0
I2605-P-640.DCE,20260121,2.0,1.9,1.9,2.0,1.7,1.8,2.0,317.0,5.97,850.0
I2605-P-620.DCE,20260121,1.6,1.5,1.5,1.5,1.4,1.4,1.7,197.0,2.84,821.0
I2605-P-600.DCE,20260121,1.3,1.3,1.3,1.4,1.2,1.2,1.3,400.0,5.0,2646.0
I2605-P-580.DCE,20260121,1.0,1.0,1.0,1.0,1.0,1.0,1.1,40.0,0.41,460.0
I2605-P-560.DCE,20260121,0.8,0.9,0.9,1.0,0.9,0.9,0.9,72.0,0.65,2195.0
I2605-P-540.DCE,20260121,0.7,0.7,0.7,0.7,0.7,0.7,0.7,61.0,0.43,891.0
I2605-C-940.DCE,20260121,2.9,3.4,3.6,3.6,2.7,3.2,2.8,800.0,24.34,3188.0
I2605-C-930.DCE,20260121,3.3,3.9,3.7,3.7,3.1,3.5,3.2,215.0,7.47,1417.0
I2605-C-920.DCE,20260121,3.7,4.2,4.1,4.1,3.4,3.9,3.6,186.0,7.08,1359.0
I2605-C-910.DCE,20260121,4.2,4.8,4.6,4.6,3.9,4.4,4.1,539.0,23.42,2505.0
I2605-C-900.DCE,20260121,4.7,5.3,5.3,5.4,4.4,5.0,4.7,4798.0,235.16,25249.0
I2605-C-890.DCE,20260121,5.4,5.8,5.3,5.8,5.1,5.3,5.3,116.0,6.06,1889.0
I2605-C-880.DCE,20260121,6.2,6.3,6.3,6.4,5.7,6.1,6.1,225.0,13.25,2553.0
I2605-C-870.DCE,20260121,7.1,7.4,6.8,7.2,6.5,6.9,7.0,127.0,8.53,1176.0
I2605-C-860.DCE,20260121,8.1,8.2,8.2,8.4,7.5,7.6,8.1,300.0,23.58,1634.0
I2605-C-850.DCE,20260121,9.4,9.6,9.5,10.0,8.3,8.8,9.4,1081.0,98.08,5088.0
I2605-C-840.DCE,20260121,10.9,11.1,11.2,11.6,9.5,10.1,11.0,490.0,51.03,1626.0
I2605-C-830.DCE,20260121,12.7,13.2,12.6,13.8,11.3,12.0,12.8,896.0,109.45,3393.0
I2605-C-820.DCE,20260121,14.9,15.6,15.0,16.2,13.3,14.2,15.0,1290.0,189.05,3329.0
I2605-C-810.DCE,20260121,17.5,18.2,17.5,19.1,16.1,16.8,17.7,837.0,145.08,1716.0
I2605-C-800.DCE,20260121,20.6,22.0,21.8,23.0,19.4,19.8,20.9,1587.0,324.91,3222.0
I2605-C-790.DCE,20260121,24.4,25.6,26.0,27.3,23.1,23.7,24.7,1041.0,253.61,1328.0
I2605-C-780.DCE,20260121,29.0,30.0,30.3,32.5,27.8,28.4,29.2,514.0,153.39,1525.0
I2605-C-770.DCE,20260121,34.3,36.7,36.0,37.6,33.5,34.6,34.5,135.0,47.8,382.0
I2605-C-760.DCE,20260121,40.5,43.0,42.0,44.5,39.5,40.9,40.6,102.0,42.79,350.0
I2605-C-750.DCE,20260121,47.5,49.0,49.2,49.7,46.0,46.0,47.5,50.0,23.84,257.0
I2605-C-740.DCE,20260121,55.2,55.0,0.0,0.0,0.0,55.1,55.1,0.0,0.0,330.0
I2605-C-730.DCE,20260121,63.5,58.4,0.0,0.0,0.0,63.2,63.2,0.0,0.0,155.0
I2605-C-720.DCE,20260121,72.2,72.2,0.0,0.0,0.0,71.9,71.9,0.0,0.0,66.0
I2605-C-710.DCE,20260121,81.2,81.2,0.0,0.0,0.0,80.8,80.8,0.0,0.0,1.0
I2605-C-700.DCE,20260121,90.5,84.8,88.3,89.9,88.3,89.9,90.1,12.0,10.69,63.0
I2605-C-690.DCE,20260121,99.9,94.4,0.0,0.0,0.0,99.5,99.5,0.0,0.0,1.0
I2605-C-680.DCE,20260121,109.4,109.4,108.4,108.4,108.4,108.4,109.0,1.0,1.08,8.0
I2605-C-670.DCE,20260121,119.1,119.1,0.0,0.0,0.0,118.6,118.6,0.0,0.0,2.0
I2605-C-660.DCE,20260121,128.7,128.7,0.0,0.0,0.0,128.2,128.2,0.0,0.0,21.0
I2605-C-650.DCE,20260121,138.4,138.4,0.0,0.0,0.0,138.0,138.0,0.0,0.0,0.0
I2605-C-640.DCE,20260121,148.2,148.2,0.0,0.0,0.0,147.7,147.7,0.0,0.0,12.0
I2605-C-620.DCE,20260121,167.8,167.8,0.0,0.0,0.0,167.3,167.3,0.0,0.0,22.0
I2605-C-600.DCE,20260121,187.4,187.4,0.0,0.0,0.0,186.9,186.9,0.0,0.0,4.0
I2605-C-580.DCE,20260121,207.1,207.1,0.0,0.0,0.0,206.7,206.7,0.0,0.0,5.0
I2605-C-560.DCE,20260121,226.9,226.9,230.8,230.8,230.8,230.8,226.4,10.0,23.08,11.0
I2605-C-540.DCE,20260121,246.7,251.0,0.0,0.0,0.0,246.3,246.3,0.0,0.0,74.0
I2604-P-950.DCE,20260121,156.9,156.9,0.0,0.0,0.0,154.1,154.1,0.0,0.0,0.0
I2604-P-940.DCE,20260121,147.1,147.1,0.0,0.0,0.0,144.2,144.2,0.0,0.0,0.0
I2604-P-930.DCE,20260121,137.3,137.3,0.0,0.0,0.0,134.4,134.4,0.0,0.0,0.0
I2604-P-920.DCE,20260121,127.5,127.5,0.0,0.0,0.0,124.6,124.6,0.0,0.0,0.0
I2604-P-910.DCE,20260121,117.8,117.8,0.0,0.0,0.0,114.9,114.9,0.0,0.0,0.0
I2604-P-900.DCE,20260121,108.1,108.1,0.0,0.0,0.0,105.2,105.2,0.0,0.0,0.0
I2604-P-890.DCE,20260121,98.5,98.5,0.0,0.0,0.0,95.6,95.6,0.0,0.0,0.0
I2604-P-880.DCE,20260121,89.0,89.0,0.0,0.0,0.0,86.1,86.1,0.0,0.0,0.0
I2604-P-870.DCE,20260121,79.6,79.6,0.0,0.0,0.0,76.8,76.8,0.0,0.0,0.0
I2604-P-860.DCE,20260121,70.3,70.3,0.0,0.0,0.0,67.7,67.7,0.0,0.0,0.0
I2604-P-850.DCE,20260121,61.3,61.3,0.0,0.0,0.0,58.9,58.9,0.0,0.0,0.0
I2604-P-840.DCE,20260121,52.4,52.4,0.0,0.0,0.0,50.4,50.4,0.0,0.0,0.0
I2604-P-830.DCE,20260121,43.9,43.9,0.0,0.0,0.0,42.4,42.4,0.0,0.0,1.0
I2604-P-820.DCE,20260121,35.8,35.8,37.7,37.7,37.7,37.7,35.0,1.0,0.38,1.0
I2604-P-810.DCE,20260121,28.4,28.4,0.0,0.0,0.0,28.4,28.4,0.0,0.0,0.0
I2604-P-800.DCE,20260121,21.8,21.8,24.3,24.3,24.3,24.3,22.5,2.0,0.47,1.0
I2604-P-790.DCE,20260121,16.2,16.2,18.7,18.7,18.7,18.7,17.6,1.0,0.19,1.0
I2604-P-780.DCE,20260121,11.8,11.8,0.0,0.0,0.0,13.5,13.5,0.0,0.0,3.0
I2604-P-770.DCE,20260121,8.7,11.6,10.6,10.6,10.6,10.6,10.3,1.0,0.11,2.0
I2604-P-760.DCE,20260121,6.5,6.5,8.3,8.3,8.3,8.3,7.9,1.0,0.08,3.0
I2604-P-750.DCE,20260121,5.2,5.2,5.3,6.4,5.3,6.4,6.0,6.0,0.33,6.0
I2604-P-740.DCE,20260121,4.2,4.2,4.5,5.2,4.5,5.0,4.6,47.0,2.14,48.0
I2604-P-730.DCE,20260121,3.6,3.6,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0
I2604-P-720.DCE,20260121,3.1,3.1,2.8,2.9,2.8,2.9,2.8,45.0,1.26,60.0
I2604-P-710.DCE,20260121,2.7,2.7,2.3,2.3,2.3,2.3,2.2,1.0,0.02,1.0
I2604-P-700.DCE,20260121,2.4,2.4,1.7,1.8,1.7,1.8,1.7,4.0,0.07,21.0
I2604-P-690.DCE,20260121,2.1,2.1,0.0,0.0,0.0,1.4,1.4,0.0,0.0,2.0
I2604-P-680.DCE,20260121,1.8,1.8,0.0,0.0,0.0,1.1,1.1,0.0,0.0,21.0
I2604-P-670.DCE,20260121,1.6,1.6,0.9,0.9,0.9,0.9,0.9,5.0,0.04,5.0
I2604-P-660.DCE,20260121,1.4,1.4,0.0,0.0,0.0,0.7,0.7,0.0,0.0,26.0
I2604-P-650.DCE,20260121,1.3,1.3,0.6,0.6,0.6,0.6,0.5,10.0,0.06,11.0
I2604-P-640.DCE,20260121,1.1,1.1,0.0,0.0,0.0,0.4,0.4,0.0,0.0,35.0
I2604-P-620.DCE,20260121,0.8,0.8,0.0,0.0,0.0,0.3,0.3,0.0,0.0,32.0
I2604-P-600.DCE,20260121,0.6,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,21.0
